	KS01	KS02	KS03	KS04	KS05	KS06	KS07	KS08	KS09	KS10	KS11	KS12	KS13	KS14	KS15	KS16	KS17	KS18	KS19	KS20	KS21	KS22	KS23	KS24	KS25	KS26	KS27	KS29	KS30	KSD	KSE	KSF	KSN	KSP	KW01	KW02	KW03	KW04	KW05	KW06	KW07	KW08	KW09	KW10	KW11	KW12	KW13	KW14	KW15	KW16	KW17	KW18	KW19	KW20	KW21	KW22	KW23	KW24	KW25	KW26	KW27	KW28	KW29	KW30	KWD	KWE	KWF	KWN	KWP	RS01	RS02	RS03	RS04	RS05	RS06	RS07	RS08	RS09	RS10	RS11	RS12	RS13	RS14	RS15	RS16	RS17	RS18	RS19	RS20	RS21	RS22	RS23	RS24	RS25	RS26	RS27	RS28	RS29	RS30	RS31	RS32	RS33	RS34	RS35	RS36	RS37	RS38	RSD	RSE	RSF	RSN	RSP	RW01	RW02	RW03	RW04	RW05	RW06	RW07	RW08	RW09	RW10	RW11	RW12	RW13	RW14	RW15	RW16	RW17	RW18	RW19	RW20	RW21	RW22	RW23	RW24	RW25	RW26	RW27	RW28	RW29	RW33	RW34	RW35	RW36	RW37	RW38	RWD	RWE	RWF	RWN	RWP	ZS01	ZS02	ZS03	ZS04	ZS05	ZS06	ZS07	ZS08	ZS09	ZS10	ZS11	ZS12	ZS13	ZS14	ZS15	ZS16	ZS17	ZS18	ZS19	ZS20	ZS21	ZS22	ZS23	ZS24	ZS25	ZS26	ZS28	ZS29	ZSD	ZSE	ZSF	ZSN	ZSP	ZW01	ZW02	ZW03	ZW04	ZW05	ZW06	ZW07	ZW08	ZW09	ZW10	ZW11	ZW12	ZW13	ZW14	ZW15	ZW16	ZW17	ZW18	ZW19	ZW20	ZW21	ZW22	ZW23	ZW24	ZW25	ZW26	ZW27	ZW28	ZW29	ZWD	ZWE	ZWF	ZWN	ZWP	Zwde
Abramis brama	0	0	0	0	0	0	0	0	0	0	2235	0	0	0	0	0	2112	1755	0	5356	99	0	20527	18325	45258	3483	20285	0	0	0	0	0	0	0	0	978	0	0	270	0	0	0	900	996	0	0	0	0	0	0	0	1501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105038	0	49185	0	0	12307	0	0	0	0	0	4690	0	6759	2604	0	0	0	16699	18269	10349	0	0	0	0	0	0	0	0	0	0	0	0	35690	0	0	0	0	0	0	0	0	17504	0	1410	0	0	12582	0	0	36441	0	25616	0	5600	0	11316	29701	0	0	10792	0	19833	0	9504	0	0	0	0	0	0	0	0	271	0	950	0	0	0	0	0	0	0	0	0	0	0	1351	0	0	1044	0	0	0	0	0	0	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3498	2499	0	2723	1671	0	0	0	0	0	0	0	0	0	0	0	0	3959	0	0	0	2034	0	0	0	0	0	0	0
Acipenser-sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alburnus alburnus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anguilla anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspius+Scardinius	7892	4479	0	0	0	0	0	0	2167	0	0	0	4959	32774	0	0	0	0	0	0	20154	0	0	0	0	0	4517	80922	0	0	0	0	0	0	0	0	7584	0	0	0	0	1458	0	0	0	0	0	1451	0	0	0	0	0	0	0	0	535	0	0	796	0	1428	0	0	0	0	0	0	0	0	0	3754	0	0	0	0	0	3548	0	0	25003	0	0	0	20435	0	6845	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	0	0	0	0	1045	756	0	3218	12723	0	0	0	3246	0	0	1397	0	1908	0	0	0	0	0	0	0	0	0	0	0	6575	0	0	0	9461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3510	3201	813	0	0	0	0	0	0	0	0	0	0
Barbatula barbatula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	541	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	563	0	0	0	0	0	0	1287	0	0	0	0	0	0	0
Barbus barbus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blicca+Vimba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5593	0	0	0	0	0	0	0	0	2450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carassius auratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carassius carassius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chondrostoma nasus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coregonus-sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5085	10568	0	0	0	0	0	2559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cottus gobio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctenopharyngodon idella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1826	0	0	0	0	0	0	2982	0	0	0	0	0	0	0	0	0	1556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyprinus carpio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	6660	0	0	0	0	0	1914	0	0	0	0	0	0	0	0	2545	1963	0	6076	0	0	0	0	0	0	0	0	0	2639	0	0	0	4578	611	0	2480	621	0	0	0	0	0	1505	0	0	0	0	0	0	9986	0	0	11202	0	0	0	0	0	10671	0	637	0	0	0	5959	0	0	3613	17225	0	0	0	3737	0	0	8218	7801	1155	3953	811	0	0	11676	53289	0	0	0	0	0	0	0	0	0	0	0	1127	658	0	2645	558	971	793	1029	1375	0	1702	0	0	1888	4705	2760	3566	0	1203	0	0	0	0	0	0	0	0	3428	6149	0	0	8894	2851	13643	0	810	2424	1881	0	944	0	3349	4162	0	0	460	4091	630	3928	0	3667	630	247	0	0	0	0	0	0	0	0	0
Esox lucius	0	0	0	0	0	0	16518	4876	0	0	0	0	1189	1566	0	0	0	0	0	0	3748	17810	0	0	0	0	4559	1113	929	0	0	0	0	0	0	0	0	0	1904	0	506	3415	0	381	0	0	0	94	0	0	0	1270	0	0	0	498	1233	0	0	0	0	0	134	0	0	0	0	0	0	4431	5127	0	0	0	0	0	0	0	0	7191	0	0	0	0	0	0	0	0	0	0	848	0	0	275	829	0	0	454	2048	102	0	196	3238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11407	0	0	0	0	0	0	0	1707	1494	1894	338	0	0	0	0	0	0	0	0	0	0	290	9643	0	0	0	0	314	130003	0	0	0	4640	6892	0	0	0	0	5155	109	0	2124	1588	489	0	211	483	10743	0	0	0	0	0	0	0	0	0	0	0	0	4404	0	0	0	493	0	0	0	0	932	0	0	3682	0	525	0	1164	0	0	0	0	0	0	0	0	0	0	0	0
Gobio gobio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	0	0	0	0	0	0	4194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1311	0	0	0	0	0	0	0	0	0	1774	0	0	0	0	0	0	0
Gymnocephalus cernua	0	0	0	0	0	0	32873	2665	0	0	0	0	0	0	0	0	0	0	0	0	0	3505	6040	0	8919	0	7031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1518	877	0	0	0	2385	0	2519	1065	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113536	0	0	9889	2438	0	16450	4636	0	0	0	0	0	1841	0	0	0	2158	0	953	1800	0	0	1015	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0	0	0	0	5692	0	1660	0	2447	0	0	1776	0	1846	2413	0	10375	1590	2145	2591	0	5315	0	0	568	0	1650	1374	0	0	0	0	0	0	0	0	0	0	185	2570	0	0	0	0	0	0	838	0	0	992	0	0	0	0	0	794	0	0	1344	350	0	1812	814	1109	6811	0	0	0	0	0	0	0	0	0	0	0	0	7795	3118	0	0	0	0	0	218	0	0	770	0	0	0	0	0	0	0	0	1087	0	0	0	0	0	0	0	0	0
Hypophthalmichthys nobilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L.idus+leuciscus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15022	4320	0	0	0	0	0	0	0	0	0	0	0	0	1187	107	0	0	0	0	0	0	0	0	0	0	0	11577	3219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8029	0	3799	0	0	0	0	4526	0	0	0	0	0	0	0	13362	0	0	0	0	221	0	1510	0	0	0	0	0	0	0	0	1291	3728	0	0	0	0	0	5274	0	29107	45002	0	0	0	0	0	0	0	0	2070	0	0	0	0	0	2699	0	0	0	0	0	3051	0	0	0	0	0	2995	0	1511	0	0	0	0	0	0	0	0	0	0	0
