TAX	Klíčava Autumn Anacapa	Klíčava Autumn Barque	Klíčava Autumn MetaBEAT	Klíčava Autumn MiFish	Klíčava Autumn SEQme	Klíčava Summer Anacapa	Klíčava Summer Barque	Klíčava Summer MetaBEAT	Klíčava Summer MiFish	Klíčava Summer SEQme	Římov Autumn Anacapa	Římov Autumn Barque	Římov Autumn MetaBEAT	Římov Autumn MiFish	Římov Autumn SEQme	Římov Summer Anacapa	Římov Summer Barque	Římov Summer MetaBEAT	Římov Summer MiFish	Římov Summer SEQme	Žlutice Autumn Anacapa	Žlutice Autumn Barque	Žlutice Autumn MetaBEAT	Žlutice Autumn MiFish	Žlutice Autumn SEQme	Žlutice Summer Anacapa	Žlutice Summer Barque	Žlutice Summer MetaBEAT	Žlutice Summer MiFish	Žlutice Summer SEQme
Abramis brama	26899	25583	23699	20614	4645	167352	155780	148719	130499	119435	433051	401116	376846	328160	215989	779938	738085	705943	595327	225900	24961	23670	21942	19282	16384	15450	14569	13487	12001	4497
Acipenser-sp.	0	0	0	0	0	0	0	0	0	0	8286	7773	7386	6358	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alburnus alburnus	0	0	0	0	0	0	0	0	0	0	0	102323	96559	84630	10769	0	425502	399040	343682	0	0	2385	2210	1979	0	0	289	281	244	0
Anguilla anguilla	2429	0	0	0	2376	16624	3667	3407	2785	16221	0	0	0	0	0	1030	964	925	810	1016	0	0	0	0	0	0	0	0	0	0
Aspius+Scardinius	0	8986	8293	7115	13252	0	173790	164783	138430	157864	0	115296	111402	92705	129346	0	148943	141170	121625	59958	0	22791	21140	18120	23560	0	68766	63752	55499	24924
Barbatula barbatula	0	0	0	0	0	0	0	0	0	0	1404	1161	1243	1055	1367	227	207	197	176	229	2322	2218	2029	1769	2225	0	0	0	0	0
Barbus barbus	760	708	671	593	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blicca+Vimba	584	543	491	445	560	0	0	0	0	0	5586	5281	4817	4237	2450	8791	8465	7869	6939	9296	872	820	775	685	0	0	0	0	0	0
Carassius auratus	0	0	0	0	0	0	0	0	0	0	2723	2574	2392	2083	2643	531	478	472	0	524	4142	3909	3729	3414	4071	0	0	0	0	0
Carassius carassius	0	0	0	0	0	0	0	0	0	0	2164	2019	1928	1750	2108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chondrostoma nasus	0	0	0	0	0	0	0	0	0	0	7231	6792	6310	5554	10329	1052	987	923	814	0	0	0	0	0	0	0	0	0	0	0
Coregonus-sp.	0	0	0	0	0	0	0	0	0	0	20430	16739	15502	13178	18212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cottus gobio	0	0	0	0	0	0	0	0	0	0	19325	16793	15494	13437	1401	3350	3160	2938	2605	0	3472	3274	3049	2680	0	0	0	0	0	0
Cottus poecilopus	14748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14169	0	0	0	0	509	0	0	0	0
Ctenopharyngodon idella	0	0	0	0	0	0	0	0	0	0	15065	14206	13151	11821	6364	1052	968	900	814	1026	1103	1047	965	857	1072	4199	3985	3652	3280	0
Cyprinus carpio	7107	6681	6554	5496	6951	1292	1209	1121	995	1253	152960	140373	132534	118662	149933	25276	23886	22454	19827	24932	63996	60043	56189	48638	62188	25600	24209	22740	19777	24980
Esox lucius	9687	9116	8571	7336	9435	53918	50886	48805	41451	52308	17226	16255	15746	13547	16840	25375	23728	22121	19267	24739	11588	10985	10215	8587	11200	175969	165368	155708	134100	172684
Gasterosteus aculeatus	0	0	0	0	0	9315	0	0	0	0	37599	0	0	0	0	0	0	0	0	0	2807	0	0	0	0	283	0	0	0	0
Gobio gobio	318	294	266	232	398	19493	18184	16645	13996	0	9081	8449	8413	7305	4856	4548	4274	4005	3599	4376	5147	4901	4511	4007	3085	0	0	0	0	0
Gymnocephalus cernua	0	0	0	0	8920	0	0	0	0	61033	0	0	0	0	41442	0	0	0	0	155298	0	0	0	0	12988	0	0	0	0	17619
Hypophthalmichthys molitrix	0	2043	1856	1602	0	0	2558	2317	2051	0	0	9987	9115	8037	0	0	8074	7397	6550	0	0	0	0	0	0	0	0	0	0	0
Hypophthalmichthys nobilis	1512	1424	1316	1117	1440	0	0	0	0	0	3179	2966	2743	2445	3601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L.idus+leuciscus	0	0	0	0	0	0	0	0	0	0	28182	26773	24647	21635	16354	62062	58874	54822	48283	35432	17218	14939	13799	12002	12326	113350	106370	100225	83465	99495
Lampetra planeri	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lepomis gibbosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13749	12713	11993	10518	13396	0	0	0	0	0	0	0	0	0	0
Oncorhynchus mykiss	0	0	0	0	0	0	0	0	0	0	103928	96740	90125	79666	104813	232	216	205	195	228	0	0	0	0	0	0	0	0	0	0
Phoxinus phoxinus	0	0	0	0	0	0	0	0	0	0	16330	15091	13515	11822	16105	3446	3242	2978	2604	3414	32337	28727	26602	22695	31200	0	0	0	0	0
Pseudorasbora parva	1420	1352	1316	1099	1412	0	0	0	0	0	19824	17991	17000	14909	19337	0	0	0	0	0	796	758	692	575	747	0	0	0	0	0
Rhodeus amarus	2001	1914	1764	1521	1942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rutilus rutilus	13811	13023	11877	10180	13329	349597	328640	308758	264146	438152	383643	352930	338068	281666	472969	1113465	1046270	1002177	840920	1614121	184372	173980	161025	139950	196790	453494	426496	403779	337044	513328
Salmo trutta	684	638	592	526	653	0	0	0	0	0	36058	33048	30411	26721	31547	0	0	0	0	0	13383	12585	11831	10274	12955	0	0	0	0	0
Salvelinus fontinalis	0	0	0	0	0	0	0	0	0	0	64193	53059	49850	42915	58635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sander+Perca	65328	61278	57757	50343	63414	364930	344932	325905	285526	353980	321851	297804	277522	245584	310665	1084683	1018258	959822	836362	1053195	122593	115820	108245	94820	118180	373596	351869	331413	286068	361989
Silurus glanis	0	0	0	0	0	27567	26053	24424	20646	26531	4815	4548	4421	3691	4740	78198	74022	69254	59015	75494	330	313	290	261	315	6622	6047	5681	4850	6401
Squalius cephalus	0	1687	0	1349	1613	0	3622	0	2833	0	0	26473	0	21608	30537	0	9370	0	7779	13814	0	48223	0	38770	46643	0	1634	0	1342	1904
Thymallus thymallus	0	0	0	0	0	0	0	0	0	0	29978	28096	25994	22289	34402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tinca tinca	4827	4569	4133	3554	4347	17135	15936	15283	13138	3559	4586	4319	3952	3508	11666	0	0	0	0	0	4359	4127	3734	3252	3707	2297	2165	2040	1799	819
Total	1331810	1331810	1331810	1331810	1331810	2621258	2621258	2621258	2621258	2621258	3774346	3774346	3774346	3774346	3774346	5370535	5370535	5370535	5370535	5370535	2517954	2517954	2517954	2517954	2517954	1965289	1965289	1965289	1965289	1965289
Assigned	152115	139839	129156	113122	135439	1027223	1125257	1060167	916496	1230336	1748946	1826973	1697086	1490978	1729903	3207005	3610686	3417605	2927711	3316388	509967	535515	452972	432617	559636	1171369	1171767	1102758	939469	1228640
Unassigned	1179695	1191971	1202654	1218688	1196371	1594035	1496001	1561091	1704762	1390922	2025400	1947373	2077260	2283368	2044443	2163530	1759849	1952930	2442824	2054147	2007987	1982439	2064982	2085337	1958318	793920	793522	862531	1025820	736649
